vxs,vys,vzs
2.3908554320000004,6.147011192000001,-7.820762992000001
2.6623652160000004,6.6820888400000005,-7.402732624000001
2.679112632,6.906799312,-7.809088840000001
2.8910948640000003,7.773199280000001,-7.160603632
2.245961648,7.447904744000001,-6.536715248000001
1.3612815440000001,7.565330696000001,-6.492500000000001
0.46856230400000004,7.727835472000001,-6.225775360000001
-0.67728976,7.836171336000001,-6.199169928000001
-1.28242212,7.200989432,-6.545135800000001
-1.2362927360000002,6.6272496080000005,-6.942591264000001
-0.9515756880000001,6.694147544,-6.899812304000001
-1.0424934240000001,6.695199280000001,-6.969580464000001
-1.0453656080000002,6.716922744000001,-6.830714464000001
-1.3084524880000001,6.721135176,-7.054277944000001
-1.285676504,6.581120616000001,-7.221567864
-1.2234684560000002,6.359377192000001,-6.933499216000001
-1.3011804960000002,6.44981708,-7.223002192000002
-1.539193488,6.595380792,-6.927469864000001
-1.4084626640000002,6.686586256,-6.84889856
-1.4048256880000003,6.584853632,-7.063560112000001
-1.1896855040000003,6.5052278480000005,-7.072364824000001
-0.8530982320000001,6.591935504000002,-7.122418128000001
-0.7801713360000002,6.6479213360000005,-7.339377584000001
-0.8431433920000001,6.604855432000001,-7.004511976
-0.861137368,6.731757984000001,-6.958190904
-0.9665050080000002,6.661607624000001,-7.071983016000001
-0.9195159680000001,6.612415936000001,-7.048919304
-0.8337651840000001,6.684289920000001,-7.092655528000001
-1.186145352,6.467713056000001,-6.9829782400000004
-0.9898572320000002,6.588489432000001,-6.925748984
-1.3840594880000001,6.787744992,-7.355071696
-1.341565512,6.829949672000001,-7.4050285680000005
